Temps,Delay
1697216471731,10
1697216476724,3
1697216481733,13
1697216486730,9
1697216491725,3
1697216496734,8
1697216501731,3
1697216506737,9
1697216511742,9
1697216516742,9
1697216521743,9
1697216526748,8
1697216531751,9
1697216536752,9
1697216541756,9
1697216546755,8
1697216551755,8
1697216556759,9
1697216561763,8
1697216566760,5
1697216571771,10
1697216576771,9
1697216581771,9
1697216586775,10
1697216591780,10
1697216596780,10
1697216601782,9
1697216606787,13
1697216611784,9
1697216616788,9
1697216621794,9
1697216626794,9
1697216631800,9
1697216636803,12
1697216641800,8
1697216646805,9
1697216651810,9
1697216656811,9
1697216661816,9
1697216666816,9
1697216671816,9
1697216676822,9
1697216681827,9
1697216686828,9
1697216691834,10
1697218197646,16
1697218202633,4
1697218207638,9
1697218212636,7
1697218217637,7
1697218222633,3
1697218227637,7
1697218232636,6
1697218237633,3
1697218242635,5
1697218247633,3
1697218252633,3
1697218257635,5
1697218262635,3
1697218267640,8
1697218272635,3
1697218308627,15
1697218313614,3
1697218318615,4
1697218323615,3
1697218328619,7
1697218333616,4
1697218338616,4
1697218343616,4
1697218348617,4
1697218353617,3
1697218358621,6
1697218363618,3
1697218368618,3
1697218373618,3
1697218378618,4
1697218383619,4
1697218388622,7
1697218393618,3
1697218398621,5
1697218403619,3
1697218408619,2
1697218413624,6
1697218418621,2
1697218423621,2
1697218428622,3
1697218433623,3
1697218438624,4
1697218443625,5
1697218448622,3
1697218453623,3
1697218458623,3
1697218463624,4
1697218468627,6
1697218473625,3
1697218478626,3
1697218483625,3
1697218488625,3
1697218493629,6
1697218498625,2
1697218503626,3
1697218508626,2
1697218513627,3
1697218518628,4
1697218523629,5
1697218528627,3
1697218533627,3
1697218538628,3
1697218543628,3
1697218548629,3
1697218553633,6
1697218558631,3
1697218563630,2
1697218568630,2
1697218573631,3
1697218578644,12
1697218583635,3
1697218588635,3
1697218593635,2
1697218598635,2
1697218603638,6
1697218608635,2
1697218613635,2
1697218618635,3
1697218623636,3
1697218628638,3
1697218633641,6
1697218638639,3
1697218643638,2
1697218648638,2
1697218653638,2
1697218658639,3
1697218663642,6
1697218668639,3
1697218673639,3
1697218678639,2
1697218683639,2
1697218688643,6
1697218693640,3
1697218698641,3
1697218703641,2
1697218708643,3
1697218713644,3
1697218718647,5
1697218723645,3
1697218728645,3
1697218733644,2
1697218738644,2
1697218743644,3
1697218748648,6
1697218753645,3
1697218758645,3
1697218763645,2
1697218768646,3
1697218773650,6
1697218778647,3
1697218783647,2
1697218788648,2
1697218793648,2
1697218798650,4
1697218803653,6
1697218808651,3
1697218813650,2
1697218818650,3
1697218823650,3
1697218828664,12
1697218833655,2
1697218838655,2
1697218843656,4
1697218848656,3
1697218853657,3
1697218858659,4
1697218863658,3
1697218868659,4
1697218873659,3
1697218878658,2
1697218883660,3
1697218888663,6
1697218893660,3
1697218898660,2
1697218903660,3
1697218908660,3
1697218913664,6
1697218918661,3
1697218923661,2
1697218928662,3
1697218933662,2
1697218938663,3
1697218943666,6
1697218948663,2
1697218953663,2
1697218958663,2
1697218963663,3
1697218968665,4
1697218973668,6
1697218978665,2
1697218983665,3
1697218988665,3
1697218993665,2
1697218998671,8
1697219003666,2
1697219008667,3
1697219013667,2
1697219018667,2
1697219023667,2
1697219028669,4
1697219033668,3
1697219038669,3
1697219043669,2
1697219048669,2
1697219053670,3
1697219058673,5
1697219063670,3
1697219068671,3
1697219073671,3
1697219078671,2
1697219083676,7
1697219088672,3
1697219093673,3
1697219098673,2
1697219103673,3
1697219108675,4
1697219113676,5
1697219118674,3
1697219123675,3
1697219128674,3
1697219133674,2
1697219138678,6
1697219143674,2
1697219148674,2
1697219153675,3
1697219158675,3
1697219163676,4
1697219168680,6
1697219173677,3
1697219178677,2
1697219183677,2
1697219188677,2
1697219193678,3
1697219198680,6
1697219203677,2
1697219208678,3
1697219213677,2
1697219218678,3
1697219223679,3
1697219228682,6
1697219233679,2
1697219238679,2
1697219243679,2
1697219248679,2
1697219253685,7
1697219258680,2
1697219263680,3
1697219268680,2
1697219273680,3
1697219278680,3
1697219283683,5
1697219288681,3
1697219293681,3
1697219298681,2
1697219303682,3
1697219308682,3
1697219313687,8
1697219318682,3
1697219323707,28
1697219328685,4
1697219333685,3
1697219338691,7
1697219343687,2
1697219348693,6
1697219353689,2
1697219358690,4
1697219363689,2
1697219368692,6
1697219373689,3
1697219378693,3
1697219383693,3
1697219388693,2
1697219393701,4
1697219398708,8
1697219403702,2
1697219408702,2
1697219413702,2
1697219418702,3
1697219423715,11
1697219428707,2
1697219433707,2
1697219438709,4
1697219443707,3
1697219448709,4
1697219453712,6
1697219458709,2
1697219463709,2
1697219468709,2
1697219473709,2
1697219478718,10
1697219483714,5
1697219488711,3
1697219493711,3
1697219498716,5
1697219503715,3
1697219508741,24
1697219513721,3
1697219518721,3
1697219523721,3
1697219528721,2
1697219533722,3
1697219538727,8
1697219543722,3
1697219548722,2
1697219553722,3
1697219558723,3
1697219563725,5
1697219568724,3
1697219573723,3
1697219578723,3
1697219583725,4
1697219588724,3
1697219593723,3
1697219598723,3
1697219603723,3
1697219608723,3
1697219613723,3
1697219618731,7
1697219623728,3
1697219628727,3
1697219633727,2
1697219638728,3
1697219643734,9
1697219648730,5
1697219653729,3
1697219658728,2
1697219663728,2
1697219668729,3
1697219673732,6
1697219678729,4
1697219683728,2
1697219688728,3
1697219693728,2
1697219698730,4
1697219703741,12
1697219708732,4
1697219713731,3
1697219718731,3
1697219723733,4
1697219728744,14
1697219733733,3
1697219738733,2
1697219743733,3
1697219748733,2
1697219753734,3
1697219758738,6
1697219763735,3
1697219768735,2
1697219773735,2
1697219778738,5
1697219783737,4
1697219788736,3
1697219793735,3
1697219798735,2
1697219803735,2
1697219808739,7
1697219813735,3
1697219818735,2
1697219823735,3
1697219828736,3
1697219833736,4
1697219838739,7
1697219843735,2
1697219848735,2
1697219853735,3
1697219858735,3
1697219863745,9
1697219868740,3
1697219873740,3
1697219878741,4
1697219883740,2
1697219888740,3
1697219893745,7
1697219898741,3
1697219903741,3
1697219908741,2
1697219913741,2
1697219918743,4
1697219923745,6
1697219928741,2
1697219933741,3
1697219938741,3
1697219943741,2
1697219948745,3
1697219953749,6
1697219958746,3
1697219963746,3
1697219968747,3
1697219973747,3
1697219978751,5
1697219983747,3
1697219988746,2
1697219993747,3
1697219998747,2
1697220003804,15
1697220008792,2
1697220013793,3
1697220018793,3
1697220023794,3
1697220028796,4
1697220033826,6
1697220038826,6
1697220043823,3
1697220048823,3
1697220053823,3
1697220058824,4
1697220063826,5
1697220068824,3
1697220073825,3
1697220078824,3
1697220083824,3
1697220088826,4
1697220093827,5
1697220098824,3
1697220103824,3
1697220108825,3
1697220113824,3
1697220118824,3
1697220123827,5
1697220128824,2
1697220133824,3
1697220138825,3
1697220143825,2
1697220148826,3
1697220153826,3
1697220158825,3
1697220163825,2
1697220168825,2
1697220173826,3
1697220178826,2
1697220183829,5
1697220188827,3
1697220193826,2
1697220198826,2
1697220203827,3
1697220208828,4
1697220213828,3
1697220218828,2
1697220223828,3
1697220228828,2
1697220233829,3
1697220238831,4
1697220243829,2
1697220248829,3
1697220253829,3
1697220258829,2
1697220263833,6
1697220268829,3
1697220273830,3
1697220278830,2
1697220283830,2
1697220288830,2
1697220293832,4
1697220298830,2
1697220303831,3
1697220308831,3
1697220313831,2
1697220318832,3
1697220323834,4
1697220328832,3
1697220333832,2
1697220338832,2
1697220343833,3
1697220348834,3
1697220353835,4
1697220358834,3
1697220363834,3
1697220368835,3
1697220373837,4
1697220378837,4
1697220383835,2
1697220388837,4
1697220393835,3
1697220398835,2
1697220403835,3
1697220408838,5
1697220413835,2
1697220418835,2
1697220423836,3
1697220428837,3
1697220433839,5
1697220438837,2
1697220443837,2
1697220448838,3
1697220453839,3
1697220458839,3
1697220463841,4
1697220468839,2
1697220473839,2
1697220478840,3
1697220483841,3
1697220488842,5
1697220493840,2
1697220498841,3
1697220503841,3
1697220508842,3
1697220513843,5
1697220518843,5
1697220523842,3
1697220528842,2
1697220533842,3
1697220538842,2
1697220543843,3
1697220548842,2
1697220553846,6
1697220558848,4
1697220563847,3
1697220568848,3
1697220573851,6
1697220578848,2
1697220583848,2
1697220588848,2
1697220593848,3
1697220598849,3
1697220603850,4
1697220608849,3
1697220613849,2
1697220618849,2
1697220623852,5
1697220628851,5
1697220633850,3
1697220638850,3
1697220643850,3
1697220648850,2
1697220653850,3
1697220658854,6
1697220663851,2
1697220668851,3
1697220673851,3
1697220678851,2
1697220683854,5
1697220688851,3
1697220693852,3
1697220698851,3
1697220703851,3
1697220708852,3
1697220713854,5
1697220718851,2
1697220723852,3
1697220728852,3
1697220733852,3
1697220738853,3
1697220743852,3
1697220748852,3
1697220753852,3
1697220758852,2
1697220763853,4
1697220768855,5
1697220773852,2
1697220778852,2
1697220783852,3
1697220788853,3
1697220793854,3
1697220798855,4
1697220803853,2
1697220808853,2
1697220813854,3
1697220818855,3
1697220823859,6
1697220828856,3
1697220833856,2
1697220838856,3
1697220843857,3
1697220848858,3
1697220853861,6
1697220858857,3
1697220863857,2
1697220868857,2
1697220873858,3
1697220878858,3
1697220883860,4
1697220888857,2
1697220893857,3
1697220898857,2
1697220903858,3
1697220908860,4
1697220913859,3
1697220918858,2
1697220923858,2
1697220928859,3
1697220933862,4
1697220938865,6
1697220943861,3
1697220948861,2
1697220953861,2
1697220958861,2
1697220963863,4
1697220968864,5
1697220973861,2
1697220978861,2
1697220983862,3
1697220988862,3
1697220993866,6
1697220998862,3
1697221003862,2
1697221008862,2
1697221013863,3
1697221018864,3
1697221023865,4
1697221028865,3
1697221033864,3
1697221038864,3
1697221043864,2
1697221048866,4
1697221053864,2
1697221058864,3
1697221063864,2
1697221068864,3
1697221073868,6
1697221078865,3
1697221083866,3
1697221088866,3
1697221093866,2
1697221098869,5
1697221103871,6
1697221108869,3
1697221113869,3
1697221118869,3
1697221123869,3
1697221128870,3
1697221133874,6
1697221138871,3
1697221143870,2
1697221148870,2
1697221153870,2
1697221158874,6
1697221163870,2
1697221168870,2
1697221173871,3
1697221178871,3
1697221183874,5
1697221188872,2
1697221193872,2
1697221198872,3
1697221203872,3
1697221208873,3
1697221213876,6
1697221218874,3
1697221223873,2
1697221228873,2
1697221233873,2
1697221238875,4
1697221243877,7
1697221248873,2
1697221253873,2
1697221258873,3
1697221263875,4
1697221268875,3
1697221273877,5
1697221278874,3
1697221283874,2
1697221288874,2
1697221293874,2
1697221298876,4
1697221303879,6
1697221308877,3
1697221313876,2
1697221318877,3
1697221323876,2
1697221328881,7
1697221333877,2
1697221338878,3
1697221343879,3
1697221348879,3
1697221353880,4
1697221358881,5
1697221363878,2
1697221368879,3
1697221373878,3
1697221378879,3
1697221383879,3
1697221388883,6
1697221393880,3
1697221398881,3
1697221403880,2
1697221408881,3
1697221413883,5
1697221418880,2
1697221423881,3
1697221428881,3
1697221433881,3
1697221438882,3
1697221443884,5
1697221448881,3
1697221453881,2
1697221458882,3
1697221463882,3
1697221468884,4
1697221473887,6
1697221478883,2
1697221483883,2
1697221488883,3
1697221493883,2
1697221498887,6
1697221503883,3
1697221508883,2
1697221513883,2
1697221518884,3
1697221523885,3
1697221528887,5
1697221533884,2
1697221538884,2
1697221543884,2
1697221548884,2
1697221553884,2
1697221558888,7
1697221563884,2
1697221568884,2
1697221573884,3
1697221578888,6
1697221583887,4
1697221588887,3
1697221593897,4
1697221598896,2
1697221603899,5
1697221608899,5
1697221613896,3
1697221618896,2
1697221623897,3
1697221628897,3
1697221633902,7
1697221638899,3
1697221643899,3
1697221648899,2
1697221653899,3
1697221658899,2
1697221663903,6
1697221668900,2
1697221673901,3
1697221678901,2
1697221683902,3
1697221688903,3
1697221693905,6
1697221698902,3
1697221703903,3
1697221708902,2
1697221713902,2
1697221718905,5
1697221723904,4
1697221728902,2
1697221733903,4
1697221738902,3
1697221743903,3
1697221748906,6
1697221753902,3
1697221758903,3
1697221763904,3
1697221768904,3
1697221773905,3
1697221778907,5
1697221783905,3
1697221788904,2
1697221793904,3
1697221798905,3
1697221803907,5
1697221808905,3
1697221813906,3
1697221818906,3
1697221823906,2
1697221828910,4
1697221833912,6
1697221838908,3
1697221843909,3
1697221848909,3
1697221853908,2
1697221858914,8
1697221863909,2
1697221868909,2
1697221873911,3
1697221878911,2
1697221883912,3
1697221888915,6
1697221893911,2
1697221898911,2
1697221903911,2
1697221908911,2
1697221913915,6
1697221918912,3
1697221923913,3
1697221928913,2
1697221933914,3
1697221938914,3
1697221943917,5
1697221948915,2
1697221953916,3
1697221958916,3
1697221963917,3
1697221968920,5
1697221973917,2
1697221978917,2
1697221983917,2
1697221988917,2
1697221993918,3
1697221998922,6
1697222003918,3
1697222008919,3
1697222013920,3
1697222018919,2
1697222023922,5
1697222028919,2
1697222033919,2
1697222038920,3
1697222043921,3
1697222048923,5
1697222053926,7
1697222058922,2
1697222063922,2
1697222068923,3
1697222073923,3
1697222078932,12
1697222083924,3
1697222088925,3
1697222093925,2
1697222098926,3
1697222103928,5
1697222108930,6
1697222113926,3
1697222118926,3
1697222123927,3
1697222128926,2
1697222133930,6
1697222138927,2
1697222143927,3
1697222148927,3
1697222153927,2
1697222158928,3
1697222163932,6
1697222168929,3
1697222173928,2
1697222178929,3
1697222183930,3
1697222188931,3
1697222193933,5
1697222198930,2
1697222203932,4
1697222208930,2
1697222213930,3
1697222218934,6
1697222223931,3
1697222228930,2
1697222233930,2
1697222238930,3
1697222243930,3
1697222248934,6
1697222253931,3
1697222258931,3
1697222263932,3
1697222268933,3
1697222273935,4
1697222278936,5
1697222283933,3
1697222288934,3
1697222293933,2
1697222298933,2
1697222303939,8
1697222308935,3
1697222313936,3
1697222318937,4
1697222323936,2
1697222328938,4
1697222333941,6
1697222338939,4
1697222343937,3
1697222348937,2
1697222353938,3
1697222358939,3
1697222363940,5
1697222368938,2
1697222373939,3
1697222378939,3
1697222383939,3
1697222388941,4
1697222393943,5
1697222398940,3
1697222403940,3
1697222408940,3
1697222413940,2
1697222418941,3
1697222423943,5
1697222428941,3
1697222433941,2
1697222438941,2
1697222443941,2
1697222448945,5
1697222453944,3
1697222458944,2
1697222463944,2
1697222468944,2
1697222473945,3
1697222478948,6
1697222483944,2
1697222488944,2
1697222493944,2
1697222498944,3
1697222503948,6
1697222508945,2
1697222513946,3
1697222518947,3
1697222523947,3
1697222528948,3
1697222533951,6
1697222538948,2
1697222543948,2
1697222548948,2
1697222553949,3
1697222558951,5
1697222563948,2
1697222568948,2
1697222573949,4
1697222578949,3
1697222583950,3
1697222588953,5
1697222593951,3
1697222598950,2
1697222603951,3
1697222608952,3
1697222613953,3
1697222618955,5
1697222623952,3
1697222628953,3
1697222633954,3
1697222638955,3
1697222643959,6
1697222648955,2
1697222653955,2
1697222658955,2
1697222663956,3
1697222668957,3
1697222673961,7
1697222678957,3
1697222683958,3
1697222688958,2
1697222693959,3
1697222698962,6
1697222703958,2
1697222708958,2
1697222713959,3
1697222718958,2
1697222723960,4
1697222728961,5
1697222733958,3
1697222738958,2
1697222743958,2
1697222748959,3
1697222753960,3
1697222758962,5
1697222763959,2
1697222768959,2
1697222773959,3
1697222778959,2
1697222783962,5
1697222788960,3
1697222793961,3
1697222798960,2
1697222803961,3
1697222808961,3
1697222813965,6
1697222818962,2
1697222823962,3
1697222828963,3
1697222833963,3
1697222838963,3
1697222843967,7
1697222848962,3
1697222853963,3
1697222858963,3
1697222863963,3
1697222868968,7
1697222873965,4
1697222878966,4
1697222883966,3
1697222888966,3
1697222893967,3
1697222898969,5
1697222903966,2
1697222908966,2
1697222913968,3
1697222918967,3
1697222923971,5
1697222928969,3
1697222933969,2
1697222938970,3
1697222943971,3
1697222948972,4
1697222953974,5
1697222958971,3
1697222963971,2
1697222968971,3
1697222973971,2
1697222978972,3
1697222983973,4
1697222988975,5
1697222993973,3
1697222998973,3
1697223003973,3
1697223008976,6
1697223013972,2
1697223018972,3
1697223023972,2
1697223028972,2
1697223033972,3
1697223038982,8
1697223043976,2
1697223048977,3
1697223053978,3
1697223058979,3
1697223063983,6
1697223068979,2
1697223073979,3
1697223078982,4
1697223083981,2
1697223088983,4
1697223093986,7
1697223098981,3
1697223103981,2
1697223108982,3
1697223113982,3
1697223118982,3
1697223123996,15
1697223128984,2
1697223133984,2
1697223138985,3
1697223143985,3
1697223148986,3
1697223153987,4
1697223158985,3
1697223163985,2
1697223168985,2
1697223173986,3
1697223178990,6
1697223183987,3
1697223188987,2
1697223193987,3
1697223198988,3
1697223203988,4
1697223208993,8
1697223213988,3
1697223218987,3
1697223223987,2
1697223228988,3
1697223233991,6
1697223238988,3
1697223243988,3
1697223248988,2
1697223253989,3
1697223258989,3
1697223263992,6
1697223268989,3
1697223273989,2
1697223278989,2
1697223283990,3
1697223288993,6
1697223293990,3
1697223298990,2
1697223303991,3
1697223308992,3
1697223313995,6
1697223318992,3
1697223323992,2
1697223328992,2
1697223333993,3
1697223338993,4
1697223343996,6
1697223348992,2
1697223353992,2
1697223358992,2
1697223363992,2
1697223368993,4
1697223373992,2
1697223378992,2
1697223383992,2
1697223388993,3
1697223393994,3
1697223398998,7
1697223403994,3
1697223408993,3
1697223413994,3
1697223418994,3
1697223423995,3
1697223428999,6
1697223433995,3
1697223438995,2
1697223443996,3
1697223448997,3
1697223453999,5
1697223458996,3
1697223463997,3
1697223468997,2
1697223473998,3
1697223478999,3
1697223484000,4
1697223488998,3
1697223493999,3
1697223499000,3
1697223504000,2
1697223509005,6
1697223514001,2
1697223519001,3
1697223524001,2
1697223529001,2
1697223534002,3
1697223539004,5
1697223544003,4
1697223549002,2
1697223554002,2
1697223559002,2
1697223564003,3
1697223569006,5
1697223574003,2
1697223579003,2
1697223584003,2
1697223589004,3
1697223594010,9
1697223599005,3
1697223604005,2
1697223609005,3
1697223614005,3
1697223619005,2
1697223624018,13
1697223629008,3
1697223634008,3
1697223639008,2
1697223644008,2
1697223649009,3
1697223654012,5
1697223659009,2
1697223664010,3
1697223669010,2
1697223674012,4
1697223679015,6
1697223684012,3
1697223689012,3
1697223694012,3
1697223699012,3
1697223704016,6
1697223709014,3
1697223714014,2
1697223719014,2
1697223724015,3
1697223729015,3
1697223734017,5
1697223739014,2
1697223744014,2
1697223749014,2
1697223754015,3
1697223759017,4
1697223764019,5
1697223769017,2
1697223774017,3
1697223779017,2
1697223784017,2
1697223789017,3
1697223794020,5
1697223799018,2
1697223804019,3
1697223809020,3
1697223814020,3
